site,mean_strike,mean_dip,mean_dip_dir,mean_pole_trend,mean_pole_plunge
CS1,41.0,23.8,131.0,311.0,66.2
CS2,12.1,22.5,102.1,282.1,67.5
CS3,36.5,23.2,126.5,306.5,66.8
CS4,74.0,33.1,164.0,344.0,56.9
CS5,351.2,54.9,81.2,261.2,35.1
CS6,354.4,54.4,84.4,264.4,35.6
CS7,16.3,61.5,106.3,286.3,28.5
CS8,43.7,54.6,133.7,313.7,35.4
CS9,43.7,54.6,133.7,313.7,35.4
CS10,12.0,86.3,102.0,282.0,3.7
CS11,345.2,53.0,75.2,255.2,37.0
CS12,4.9,54.8,94.9,274.9,35.2
CS13,326.0,82.9,56.0,236.0,7.1
CS14,8.7,55.8,98.7,278.7,34.2
CS15,8.9,69.0,98.9,278.9,21.0
